HSISID,SCORE,TYPE,INSPECTOR,date,RESTAURANTOPENDATE
04092016286,95.5,Inspection,Shakera Robbins,2017-08-28,2012-11-01
04092016286,95,Inspection,Marion Wearing,2018-09-24,2012-11-01
04092016286,94,Inspection,Maria Powell,2019-08-13,2012-11-01
04092016286,95,Inspection,Maria Powell,2020-03-26,2012-11-01
04092017321,97.5,Inspection,Pamela Scott,2016-10-26,2016-09-13
04092017321,98.5,Inspection,Pamela Scott,2017-04-03,2016-09-13
04092017321,99,Inspection,Pamela Scott,2017-10-30,2016-09-13
04092017321,97.5,Inspection,Pamela Scott,2018-02-22,2016-09-13
04092017321,93,Inspection,Lucy Schrum,2018-05-29,2016-09-13
04092017321,95,Inspection,Melodee Johnson,2018-11-08,2016-09-13
04092017321,94,Inspection,Melodee Johnson,2019-04-30,2016-09-13
04092017321,93.5,Inspection,Lauren Harden,2019-10-14,2016-09-13
04092017321,93.5,Inspection,Lauren Harden,2020-02-19,2016-09-13
04092017191,97,Inspection,Angela Myers,2016-05-02,2016-03-31
04092017191,96.5,Inspection,Joshua Volkan,2017-05-04,2016-03-31
04092017191,95,Inspection,Brittny Thomas,2017-07-28,2016-03-31
04092017191,92.5,Inspection,Brittny Thomas,2018-01-02,2016-03-31
04092017191,95.5,Inspection,Brittny Thomas,2018-04-16,2016-03-31
04092017191,95.5,Inspection,Brittny Thomas,2018-08-22,2016-03-31
04092017191,96,Inspection,Brittny Thomas,2018-12-04,2016-03-31
04092017191,95.5,Inspection,Brittny Thomas,2019-04-29,2016-03-31
04092017191,94,Inspection,Brittny Thomas,2019-09-16,2016-03-31
04092017191,92.5,Inspection,Loc Nguyen,2020-01-29,2016-03-31
04092017191,94,Inspection,Patricia Sabby,2020-09-30,2016-03-31
04092017538,99.5,Inspection,Karla Crowder,2017-04-21,2017-02-21
04092017538,99.5,Inspection,Joshua Volkan,2018-01-30,2017-02-21
04092017538,98.5,Inspection,Joshua Volkan,2018-10-11,2017-02-21
04092017538,99,Inspection,Joshua Volkan,2019-04-10,2017-02-21
04092017538,99,Inspection,Karla Crowder,2020-05-13,2017-02-21
04092017190,97.5,Inspection,Jason Dunn,2016-04-18,2016-03-28
04092017190,98.5,Inspection,Naterra McQueen,2017-04-25,2016-03-28
04092017190,94.5,Inspection,Laura McNeill,2017-10-24,2016-03-28
04092017190,96.5,Inspection,Laura McNeill,2018-02-28,2016-03-28
04092017190,98,Inspection,Jackson Hooton,2020-02-17,2016-03-28
04092017190,96.5,Inspection,Jackson Hooton,2020-08-25,2016-03-28
04092017187,97.5,Inspection,Lisa McCoy,2016-04-19,2016-04-01
04092017187,98,Inspection,Lisa McCoy,2016-09-28,2016-04-01
04092017187,98,Inspection,Caroline Suggs,2017-05-04,2016-04-01
04092017187,98,Inspection,Caroline Suggs,2017-11-28,2016-04-01
04092017187,96.5,Inspection,Caroline Suggs,2018-05-30,2016-04-01
04092017187,98,Inspection,Nicole Bailey,2019-05-28,2016-04-01
04092017187,100,Inspection,Nicole Bailey,2019-11-25,2016-04-01
04092017187,100,Inspection,Nicole Bailey,2020-06-02,2016-04-01
04092017849,96,Inspection,Daryl Beasley,2018-08-07,2018-05-14
04092017849,97.5,Inspection,Daryl Beasley,2019-03-26,2018-05-14
04092017849,96,Inspection,Patricia Sabby,2019-09-28,2018-05-14
04092017849,98,Inspection,Patricia Sabby,2020-01-30,2018-05-14
04092017849,96.5,Inspection,Patricia Sabby,2020-09-24,2018-05-14
04092016155,96,Inspection,Christy Klaus,2012-11-06,2012-04-12
04092016155,95.5,Inspection,Christy Klaus,2013-05-10,2012-04-12
04092016155,95.5,Inspection,Jason Dunn,2013-12-30,2012-04-12
04092016155,94.5,Inspection,Christy Klaus,2014-06-21,2012-04-12
04092016155,97,Inspection,Jason Dunn,2015-01-07,2012-04-12
04092016155,98.5,Inspection,Jason Dunn,2015-09-30,2012-04-12
04092016155,98,Inspection,Jason Dunn,2016-02-02,2012-04-12
04092016155,98,Inspection,Jason Dunn,2016-06-08,2012-04-12
04092016155,99,Inspection,Jason Dunn,2016-10-03,2012-04-12
04092016155,99.5,Inspection,Jason Dunn,2017-05-05,2012-04-12
04092016155,97,Inspection,Jason Dunn,2017-10-09,2012-04-12
04092016155,97,Inspection,Jason Dunn,2018-04-26,2012-04-12
04092016155,96,Inspection,Lauren Harden,2018-12-03,2012-04-12
04092016155,97,Inspection,Nicole Bailey,2019-03-12,2012-04-12
04092016155,96,Inspection,Loc Nguyen,2019-08-14,2012-04-12
04092016155,98,Inspection,Zachary Carter,2020-03-04,2012-04-12
04092016487,99,Inspection,Ashley Whittington,2013-10-21,2013-08-14
04092016487,99,Inspection,Daryl Beasley,2014-06-25,2013-08-14
04092016487,99,Inspection,Daryl Beasley,2014-11-26,2013-08-14
04092016487,99,Inspection,Daryl Beasley,2015-05-01,2013-08-14
04092016487,95.5,Inspection,Angela Myers,2015-10-08,2013-08-14
04092016487,95,Inspection,Angela Myers,2016-02-25,2013-08-14
04092016487,98,Inspection,Jessica Andrews,2016-09-13,2013-08-14
04092016487,98.5,Inspection,Jessica Andrews,2017-01-30,2013-08-14
04092016487,99,Inspection,Jessica Andrews,2017-05-25,2013-08-14
04092016487,96.5,Inspection,Jessica Andrews,2017-10-05,2013-08-14
04092016487,96.5,Inspection,Jessica Andrews,2018-01-08,2013-08-14
04092016487,97,Inspection,Jessica Andrews,2018-05-03,2013-08-14
04092016487,97,Inspection,Jessica Andrews,2018-12-17,2013-08-14
04092016487,98.5,Inspection,Joshua Volkan,2019-04-05,2013-08-14
04092016487,97,Inspection,Naterra McQueen,2019-09-12,2013-08-14
04092016487,98,Inspection,Ursula Gadomski,2020-02-03,2013-08-14
04092016487,97.5,Inspection,Ursula Gadomski,2020-06-24,2013-08-14
04092016161,98,Inspection,Melissa Harrison,2012-11-27,2012-04-18
04092016161,96.5,Inspection,Melissa Harrison,2013-04-12,2012-04-18
04092016161,98,Inspection,Melissa Harrison,2013-10-10,2012-04-18
04092016161,96.5,Inspection,Naterra McQueen,2014-10-29,2012-04-18
04092016161,98,Inspection,Melissa Harrison,2014-04-24,2012-04-18
04092016161,93,Inspection,Naterra McQueen,2015-03-25,2012-04-18
04092016161,94,Inspection,Caroline Suggs,2015-08-25,2012-04-18
04092016161,95.5,Inspection,Caroline Suggs,2016-02-17,2012-04-18
04092016161,92,Inspection,Naterra McQueen,2016-08-22,2012-04-18
04092016161,96,Inspection,Naterra McQueen,2017-01-06,2012-04-18
04092016161,96.5,Inspection,Naterra McQueen,2017-07-19,2012-04-18
04092016161,96,Inspection,Naterra McQueen,2017-12-07,2012-04-18
04092016161,95,Inspection,Naterra McQueen,2018-06-18,2012-04-18
04092016161,94.5,Inspection,Naterra McQueen,2018-11-01,2012-04-18
04092016161,95.5,Inspection,Naterra McQueen,2019-03-05,2012-04-18
04092016161,97,Inspection,Naterra McQueen,2019-08-15,2012-04-18
04092016161,97,Inspection,Naterra McQueen,2020-01-13,2012-04-18
04092016161,96.5,Inspection,Naterra McQueen,2020-05-14,2012-04-18
04092016438,96,Inspection,Christopher Walker,2014-01-14,2013-05-31
04092016438,97,Inspection,Naterra McQueen,2013-06-13,2013-05-31
04092016438,93,Inspection,Christopher Walker,2015-01-15,2013-05-31
04092016438,93.5,Inspection,Christopher Walker,2015-08-12,2013-05-31
04092016438,95.5,Inspection,Pamela Scott,2016-08-25,2013-05-31
04092016438,95,Inspection,Pamela Scott,2017-06-19,2013-05-31
04092016438,96.5,Inspection,Pamela Scott,2018-01-05,2013-05-31
04092016438,97,Inspection,Melodee Johnson,2018-11-06,2013-05-31
04092016438,95,Inspection,Melodee Johnson,2019-07-02,2013-05-31
04092016438,98.5,Inspection,Zachary Carter,2020-05-08,2013-05-31
04092016489,98,Inspection,Ashley Whittington,2013-09-23,2013-08-20
04092016489,95,Inspection,Christopher Walker,2014-07-15,2013-08-20
04092016489,93.5,Inspection,Christopher Walker,2015-07-17,2013-08-20
04092016489,93,Inspection,Christopher Walker,2016-04-13,2013-08-20
04092016489,95.5,Inspection,Pamela Scott,2017-01-30,2013-08-20
04092016489,95,Inspection,Pamela Scott,2017-10-10,2013-08-20
04092016489,94.5,Inspection,Michael Robinson,2018-06-22,2013-08-20
04092016489,92.5,Inspection,Daryl Beasley,2018-12-21,2013-08-20
04092016489,93,Inspection,Melodee Johnson,2019-06-25,2013-08-20
04092016489,93.5,Inspection,Lauren Harden,2019-12-23,2013-08-20
04092016489,92.5,Inspection,Lucy Schrum,2020-08-14,2013-08-20
04092017181,97,Inspection,Karla Crowder,2016-03-28,2016-03-14
04092017181,100,Inspection,David Adcock,2017-01-31,2016-03-14
04092017181,98.5,Inspection,David Adcock,2017-06-28,2016-03-14
04092017181,98.5,Inspection,David Adcock,2017-10-19,2016-03-14
04092017181,100,Inspection,David Adcock,2018-02-12,2016-03-14
04092017181,100,Inspection,David Adcock,2018-06-11,2016-03-14
04092017181,99.5,Inspection,John Wulffert,2018-10-01,2016-03-14
04092017181,99.5,Inspection,John Wulffert,2019-02-04,2016-03-14
04092017181,98.5,Inspection,Ginger Johnson,2020-01-15,2016-03-14
04092017181,99.5,Inspection,Nicole Bailey,2020-09-28,2016-03-14
04092018307,96.5,Inspection,Sarah Thompson,2020-02-13,2020-01-27
04092018307,97,Inspection,David Adcock,2020-08-28,2020-01-27
04092017180,98.5,Inspection,Karla Crowder,2016-07-12,2016-03-11
04092017180,99,Inspection,Joshua Volkan,2018-06-07,2016-03-11
04092017180,99,Inspection,Joshua Volkan,2019-02-25,2016-03-11
04092017179,98,Inspection,Pamela Scott,2016-04-12,2016-03-08
04092017179,99,Inspection,Jessica Andrews,2016-10-17,2016-03-08
04092017179,98,Inspection,Jessica Andrews,2017-01-11,2016-03-08
04092017179,100,Inspection,Jessica Andrews,2017-07-13,2016-03-08
04092017179,100,Inspection,Jessica Andrews,2018-01-12,2016-03-08
04092017179,99.5,Inspection,Jessica Andrews,2018-08-22,2016-03-08
04092017179,100,Inspection,Jessica Andrews,2019-03-15,2016-03-08
04092017179,99,Inspection,Brittny Thomas,2019-09-30,2016-03-08
04092017179,100,Inspection,Ursula Gadomski,2020-03-17,2016-03-08
04092017179,100,Inspection,Ursula Gadomski,2020-07-21,2016-03-08
04092018422,98.5,Inspection,Naterra McQueen,2020-09-15,2020-08-19
04092017178,98,Inspection,Jennifer Edwards,2016-03-21,2016-03-14
04092017178,97,Inspection,Christy Klaus,2016-11-10,2016-03-14
04092017178,94,Inspection,Christy Klaus,2017-04-06,2016-03-14
04092017178,98,Inspection,Jason Dunn,2017-11-06,2016-03-14
04092017178,96,Inspection,Jason Dunn,2018-06-01,2016-03-14
04092017178,97,Inspection,Karla Crowder,2019-03-14,2016-03-14
04092017178,92,Inspection,Zachary Carter,2020-02-18,2016-03-14
04092018368,99,Inspection,Joshua Volkan,2020-06-22,2020-05-20
04092018352,97,Inspection,Christy Klaus,2020-05-08,2020-04-22
04092018352,97.5,Inspection,Lauren Harden,2020-08-05,2020-04-22
04092018254,98.5,Inspection,Naterra McQueen,2020-01-09,2019-12-02
04092018254,97.5,Inspection,Naterra McQueen,2020-05-20,2019-12-02
04092017336,99.5,Inspection,Daryl Beasley,2017-03-02,2016-09-27
04092017336,98,Inspection,Lucy Schrum,2017-07-26,2016-09-27
04092017336,97,Inspection,Lucy Schrum,2018-07-12,2016-09-27
04092017336,98.5,Inspection,Lauren Harden,2019-08-29,2016-09-27
04092017336,98,Inspection,Lucy Schrum,2020-09-24,2016-09-27
04092018247,99,Inspection,James Smith,2020-04-22,2019-12-03
04092017192,96,Inspection,Thomas Jumalon,2016-07-19,2016-04-05
04092017192,98,Inspection,David Adcock,2017-06-08,2016-04-05
04092017192,97.5,Inspection,Angela Jacobs,2017-11-14,2016-04-05
04092017192,95,Inspection,Angela Jacobs,2018-04-18,2016-04-05
04092017192,96,Inspection,Ginger Johnson,2018-10-22,2016-04-05
04092017192,94.5,Inspection,Ginger Johnson,2019-04-03,2016-04-05
04092017192,97,Inspection,Ginger Johnson,2019-11-07,2016-04-05
04092017192,100,Inspection,John Wulffert,2020-07-29,2016-04-05
04092017193,99.5,Inspection,James Smith,2016-06-03,2016-04-05
04092017193,98,Inspection,Daryl Beasley,2017-05-04,2016-04-05
04092017193,100,Inspection,Jordan Jernigan,2017-08-16,2016-04-05
04092017193,97,Inspection,Lucy Schrum,2019-08-20,2016-04-05
04092017193,98.5,Inspection,Patricia Sabby,2020-08-31,2016-04-05
04092016891,98,Inspection,Lisa McCoy,2015-05-21,2015-04-08
04092016891,96,Inspection,David Adcock,2015-11-05,2015-04-08
04092016891,96,Inspection,David Adcock,2016-02-12,2015-04-08
04092016891,95,Inspection,Caroline Suggs,2016-10-21,2015-04-08
04092016891,90,Inspection,Angela Myers,2017-08-16,2015-04-08
04092016891,95,Inspection,Angela Myers,2018-02-14,2015-04-08
04092016891,92,Inspection,Maria Powell,2018-09-11,2015-04-08
04092016891,94,Inspection,Maria Powell,2019-03-13,2015-04-08
04092016891,91,Inspection,Angela Myers,2019-10-29,2015-04-08
04092016891,96.5,Inspection,Angela Myers,2020-03-25,2015-04-08
04092016891,93.5,Inspection,Angela Myers,2020-09-24,2015-04-08
04092016255,99.5,Inspection,Tim Bass,2012-12-12,2012-09-11
04092016255,98.5,Inspection,Daryl Beasley,2014-07-10,2012-09-11
04092016255,98,Inspection,Pamela Scott,2016-06-08,2012-09-11
04092016255,100,Inspection,Jessica Andrews,2017-01-10,2012-09-11
04092016255,100,Inspection,Jessica Andrews,2017-10-19,2012-09-11
04092016255,100,Inspection,Jessica Andrews,2018-09-13,2012-09-11
04092016255,100,Inspection,Ursula Gadomski,2020-04-08,2012-09-11
04092016699,93.5,Inspection,Lucy Schrum,2014-07-22,2014-05-30
04092016699,87,Inspection,Lucy Schrum,2015-03-17,2014-05-30
04092016699,95,Re-Inspection,Lucy Schrum,2015-04-15,2014-05-30
04092016699,94,Inspection,Lucy Schrum,2015-12-18,2014-05-30
04092016699,92,Inspection,Angela Myers,2016-07-21,2014-05-30
04092016699,95,Inspection,Angela Myers,2017-03-24,2014-05-30
04092016699,96.5,Inspection,Karla Crowder,2017-11-17,2014-05-30
04092016699,97.5,Inspection,John Wulffert,2018-06-15,2014-05-30
04092016699,83,Inspection,Angela Myers,2018-09-19,2014-05-30
04092016699,86.5,Re-Inspection,Angela Myers,2018-11-08,2014-05-30
04092016699,93,Re-Inspection,Angela Myers,2018-11-27,2014-05-30
04092016699,93,Inspection,Angela Myers,2019-03-19,2014-05-30
04092016699,99,Inspection,Angela Myers,2019-07-25,2014-05-30
04092016699,93,Inspection,Angela Myers,2020-01-14,2014-05-30
04092016699,91,Inspection,Angela Myers,2020-09-25,2014-05-30
04092016263,99,Inspection,James Smith,2012-10-16,2012-09-20
04092016263,98.5,Inspection,James Smith,2013-04-04,2012-09-20
04092016263,100,Inspection,Angela Myers,2013-11-05,2012-09-20
04092016263,98.5,Inspection,Angela Myers,2014-03-26,2012-09-20
04092016263,100,Inspection,Angela Myers,2014-08-26,2012-09-20
04092016263,97.5,Inspection,Angela Myers,2015-03-19,2012-09-20
04092016263,98.5,Inspection,Angela Myers,2015-08-28,2012-09-20
04092016263,98,Inspection,Angela Myers,2015-12-08,2012-09-20
04092016263,96.5,Inspection,Angela Myers,2016-03-22,2012-09-20
04092016263,97,Inspection,Jessica Andrews,2016-08-19,2012-09-20
04092016263,99,Inspection,Jessica Andrews,2017-01-20,2012-09-20
04092016263,99.5,Inspection,Jessica Andrews,2017-05-23,2012-09-20
04092016263,99,Inspection,Jessica Andrews,2017-08-14,2012-09-20
04092016263,98.5,Inspection,Jessica Andrews,2017-10-24,2012-09-20
04092016263,97.5,Inspection,Jessica Andrews,2018-01-11,2012-09-20
04092016263,98.5,Inspection,Jessica Andrews,2018-04-12,2012-09-20
04092016263,96,Inspection,Jessica Andrews,2018-08-17,2012-09-20
04092016263,98,Inspection,Jessica Andrews,2018-12-03,2012-09-20
04092016263,96,Inspection,Christy Klaus,2019-05-09,2012-09-20
04092016263,96,Inspection,Naterra McQueen,2019-08-21,2012-09-20
04092016263,97.5,Inspection,Ursula Gadomski,2019-12-16,2012-09-20
04092016263,96.5,Inspection,Ursula Gadomski,2020-04-13,2012-09-20
04092016263,98,Inspection,Ursula Gadomski,2020-10-12,2012-09-20
04092016264,93,Inspection,Lucy Schrum,2012-10-23,2012-09-21
04092016264,99,Inspection,Chris Askew,2013-09-26,2012-09-21
04092016264,98,Inspection,Chris Askew,2014-09-23,2012-09-21
04092016264,96.5,Inspection,Chris Askew,2015-03-28,2012-09-21
04092016264,95.5,Inspection,Pamela Scott,2016-02-16,2012-09-21
04092016264,96,Inspection,Michael Robinson,2017-05-23,2012-09-21
04092016264,96.5,Inspection,Meghan Scott,2017-08-22,2012-09-21
04092016264,97.5,Inspection,Meghan Scott,2018-03-05,2012-09-21
04092016264,97.5,Inspection,Meghan Scott,2018-09-24,2012-09-21
04092016264,96,Inspection,Meghan Scott,2019-03-25,2012-09-21
04092016264,95,Inspection,Meghan Scott,2019-09-12,2012-09-21
04092016264,95.5,Inspection,Meghan Scott,2020-02-27,2012-09-21
04092016264,98,Inspection,Meghan Scott,2020-08-10,2012-09-21
04092018287,97.5,Inspection,Joshua Volkan,2020-05-05,2020-01-07
04092017271,86,Inspection,Thomas Jumalon,2016-12-21,2016-08-17
04092017271,91,Re-Inspection,Thomas Jumalon,2017-02-24,2016-08-17
04092017271,94,Inspection,Maria Powell,2018-02-26,2016-08-17
04092017271,95,Inspection,Laura McNeill,2018-08-08,2016-08-17
04092017271,92.5,Inspection,Laura McNeill,2019-01-29,2016-08-17
04092017271,90,Inspection,Laura McNeill,2019-06-13,2016-08-17
04092017271,95.5,Inspection,Nicole Bailey,2019-10-01,2016-08-17
04092017271,97,Inspection,Nicole Bailey,2020-01-21,2016-08-17
04092017271,96.5,Inspection,Nicole Bailey,2020-07-06,2016-08-17
04092016163,97,Inspection,James Smith,2012-10-29,2012-04-18
04092016163,97.5,Inspection,James Smith,2013-04-11,2012-04-18
04092016163,98,Inspection,Angela Myers,2013-11-26,2012-04-18
04092016163,97.5,Inspection,Angela Myers,2014-05-08,2012-04-18
04092016163,92.5,Inspection,Angela Myers,2014-10-06,2012-04-18
04092016163,95.5,Inspection,Angela Myers,2015-06-02,2012-04-18
04092016163,94.5,Inspection,Angela Myers,2015-11-20,2012-04-18
04092016163,96,Inspection,Angela Myers,2016-02-29,2012-04-18
04092016163,96,Inspection,Jessica Andrews,2016-09-20,2012-04-18
04092016163,96.5,Inspection,Jessica Andrews,2017-02-10,2012-04-18
04092016163,97,Inspection,Jessica Andrews,2017-09-21,2012-04-18
04092016163,97.5,Inspection,Jessica Andrews,2018-02-08,2012-04-18
04092016163,96.5,Inspection,Jessica Andrews,2018-05-04,2012-04-18
04092016163,98,Inspection,Jessica Andrews,2018-09-10,2012-04-18
04092016163,95,Inspection,Christy Klaus,2019-03-26,2012-04-18
04092016163,96.5,Inspection,Ginger Johnson,2019-09-17,2012-04-18
04092016163,97,Inspection,Ursula Gadomski,2020-02-25,2012-04-18
04092016163,97.5,Inspection,Ursula Gadomski,2020-07-07,2012-04-18
04092016164,91.5,Inspection,Angela Myers,2013-01-14,2012-04-19
04092016164,96.5,Inspection,James Smith,2013-09-25,2012-04-19
04092016164,95,Inspection,James Smith,2014-03-13,2012-04-19
04092016164,95.5,Inspection,James Smith,2014-09-12,2012-04-19
04092016164,97,Inspection,James Smith,2015-03-16,2012-04-19
04092016164,94,Inspection,Chris Askew,2015-08-23,2012-04-19
04092016164,96,Inspection,Chris Askew,2016-02-23,2012-04-19
04092016164,90.5,Inspection,Andrea Anover,2016-08-18,2012-04-19
04092016164,93,Inspection,Andrea Anover,2017-01-10,2012-04-19
04092016164,90,Inspection,Andrea Anover,2017-09-05,2012-04-19
04092016164,90,Inspection,Andrea Anover,2018-02-13,2012-04-19
04092016164,91,Inspection,Andrea Anover,2018-07-09,2012-04-19
04092016164,96.5,Inspection,John Wulffert,2018-10-15,2012-04-19
04092016164,96,Inspection,David Adcock,2019-02-28,2012-04-19
04092016164,95.5,Inspection,Christy Klaus,2019-07-01,2012-04-19
04092016164,96,Inspection,Greta Welch,2019-12-09,2012-04-19
04092016164,96.5,Inspection,Greta Welch,2020-04-15,2012-04-19
04092016164,96,Inspection,Loc Nguyen,2020-09-01,2012-04-19
04092016702,96,Inspection,Ashley Whittington,2014-08-04,2014-05-28
04092016702,94,Inspection,Johanna Hill,2015-02-05,2014-05-28
04092016702,95,Inspection,Johanna Hill,2015-08-27,2014-05-28
04092016702,91,Inspection,Johanna Hill,2016-03-24,2014-05-28
04092016702,90,Inspection,Johanna Hill,2016-08-08,2014-05-28
04092016702,88,Inspection,Daryl Beasley,2017-03-06,2014-05-28
04092016702,94.5,Re-Inspection,Daryl Beasley,2017-05-04,2014-05-28
04092016702,87,Inspection,Lucy Schrum,2017-10-24,2014-05-28
04092016702,92.5,Re-Inspection,Lucy Schrum,2017-11-20,2014-05-28
04092016702,90,Inspection,Lucy Schrum,2018-02-19,2014-05-28
04092016702,90,Inspection,Lucy Schrum,2018-07-05,2014-05-28
04092016702,90,Inspection,Lucy Schrum,2019-01-02,2014-05-28
04092016702,90,Inspection,Lucy Schrum,2019-04-15,2014-05-28
04092016702,93.5,Inspection,Lauren Harden,2019-08-07,2014-05-28
04092016702,92.5,Inspection,Lauren Harden,2019-12-30,2014-05-28
04092016702,91,Inspection,Lauren Harden,2020-04-15,2014-05-28
04092017534,96.5,Inspection,Lisa McCoy,2017-03-15,2017-03-09
04092017534,97,Inspection,Dimitri Parker,2017-06-26,2017-03-09
04092017534,97,Inspection,Dimitri Parker,2017-09-28,2017-03-09
04092017534,96.5,Inspection,Kaitlyn Yow,2018-04-27,2017-03-09
04092017534,94,Inspection,Kaitlyn Yow,2018-08-14,2017-03-09
04092017534,96.5,Inspection,Kaitlyn Yow,2019-01-07,2017-03-09
04092017534,95.5,Inspection,Kaitlyn Yow,2019-05-23,2017-03-09
04092017534,93.5,Inspection,Kaitlyn Yow,2019-07-18,2017-03-09
04092017534,97,Inspection,Christy Klaus,2019-12-09,2017-03-09
04092017534,94.5,Inspection,Christy Klaus,2020-05-13,2017-03-09
04092017534,96,Inspection,Lauren Harden,2020-08-13,2017-03-09
04092015099,97.5,Inspection,James Salter,2013-02-14,2008-03-25
04092015099,98.5,Inspection,Ashley Whittington,2014-04-23,2008-03-25
04092015099,97,Inspection,Ashley Whittington,2014-10-21,2008-03-25
04092015099,99,Inspection,James Salter,2013-08-16,2008-03-25
04092015099,98.5,Inspection,Johanna Hill,2015-05-01,2008-03-25
04092015099,96.5,Inspection,Christopher Walker,2015-09-23,2008-03-25
04092015099,93.5,Inspection,Christopher Walker,2016-04-07,2008-03-25
04092015099,97,Inspection,Daryl Beasley,2016-11-23,2008-03-25
04092015099,98.5,Inspection,Daryl Beasley,2017-07-21,2008-03-25
04092015099,97,Inspection,Lauren Harden,2018-05-03,2008-03-25
04092015099,95.5,Inspection,Lauren Harden,2018-11-21,2008-03-25
04092015099,95.5,Inspection,Lauren Harden,2019-06-14,2008-03-25
04092015099,95.5,Inspection,Lauren Harden,2019-12-05,2008-03-25
04092015099,97,Inspection,Lauren Harden,2020-06-11,2008-03-25
04092015101,99,Inspection,Karla Crowder,2013-06-24,2008-03-26
04092015101,96,Inspection,Andrea Anover,2014-03-05,2008-03-26
04092015101,93,Inspection,Andrea Anover,2015-02-02,2008-03-26
04092015101,90.5,Inspection,Karla Crowder,2016-02-23,2008-03-26
04092015101,90,Inspection,Ginger Johnson,2017-02-21,2008-03-26
04092015101,93,Inspection,Angela Jacobs,2017-10-16,2008-03-26
04092015101,92,Inspection,Angela Jacobs,2018-04-04,2008-03-26
04092015101,95.5,Inspection,Ginger Johnson,2018-08-31,2008-03-26
04092015101,84,Inspection,Ginger Johnson,2019-06-10,2008-03-26
04092015101,97,Re-Inspection,Ginger Johnson,2019-06-18,2008-03-26
04092015101,98.5,Inspection,John Wulffert,2019-12-09,2008-03-26
04092015101,99,Inspection,John Wulffert,2020-05-15,2008-03-26
04092014473,96.5,Inspection,Naterra McQueen,2012-10-23,2006-01-20
